;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
D19_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D20_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D21_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D22_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D23_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D24_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D25_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D26_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D27_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D28_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D29_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D30_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D31_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D32_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D33_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D34_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D35_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D36_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D37_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D38_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D39_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D40_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D41_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D42_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D43_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D44_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D45_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D46_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D47_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D48_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D49_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
D50_ADJ;Colonial;;Das Kleinere Fürstentum von $REGION$;;;;;;;;x;;;
