Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
fief_and_drum;Fief and Drum;;;;;;;;;;;;;x
constitutio_criminalis_theresiana;Constitutio Criminalis Theresiana;;;;;;;;;;;;;x
army_unrest_5;Unrest among the Army;;;;;;;;;;;;;x
army_unrest_5_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;x
army_unrest_4;Unrest among the Army;;;;;;;;;;;;;x
army_unrest_4_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;x
army_unrest_3;Unrest among the Army;;;;;;;;;;;;;x
army_unrest_3_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;x
army_unrest_2;Unrest among the Army;;;;;;;;;;;;;x
army_unrest_2_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;x
army_unrest_1;Unrest among the Army;;;;;;;;;;;;;x
army_unrest_1_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;x
bureaucratic_unrest_5;Unrest among the Bureaucrats;;;;;;;;;;;;;x
bureaucratic_unrest_5_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;x
bureaucratic_unrest_4;Unrest among the Bureaucrats;;;;;;;;;;;;;x
bureaucratic_unrest_4_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;x
bureaucratic_unrest_3;Unrest among the Bureaucrats;;;;;;;;;;;;;x
bureaucratic_unrest_3_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;x
bureaucratic_unrest_2;Unrest among the Bureaucrats;;;;;;;;;;;;;x
bureaucratic_unrest_2_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;x
bureaucratic_unrest_1;Unrest among the Bureaucrats;;;;;;;;;;;;;x
bureaucratic_unrest_1_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;x
silesia_boom;Silesia Population and Industry Boom;;;;;;;;;;;;;x
silesia_boom_city;Silesia Population and Industry Boom;;;;;;;;;;;;;x
frederick_grosse;Fredrick II Hohenzollern;;;;;;;;;;;;;x
folwark_serf_economy;Folwark and Serf Based Economy;;;;;;;;;;;;;x
noble_democracy;Golden Liberty;;;;;;;;;;;;;x
admiraliteiten:Admiraliteinten;;;;;;;;;;;;;x
stadtholderless_period;Stadtholderless Dictatorship;;;;;;;;;;;;;x
patriots_couse_trouble;Patriots cause Unrest;;;;;;;;;;;;;x
orangist_domination;Orangist Domination;;;;;;;;;;;;;x
dutch_banks;Dutch Banks;;;;;;;;;;;;;x
outdoor_relief;Outdoor relief;;;;;;;;;;;;;x
decentralized_rule;Decentralized Rule;;;;;;;;;;;;;x
political_chaos;Political Chaos;;;;;;;;;;;;;x
inefficient_bureacracy;Inefficient Bureacracy;;;;;;;;;;;;;x
efficient_bureacracy;Efficinet Bureacracy;;;;;;;;;;;;;x
illegitimate_heir;Illegitimate heir;;;;;;;;;;;;;x
hre_mendling;Holy Roman Laws Changed;;;;;;;;;;;;;x
reichsreform:Reichreform;;;;;;;;;;;;;x
reichsregiment;Reichregiment;;;;;;;;;;;;;x
the_hofgericht;The Hofgericht;;;;;;;;;;;;;x
erbkaisertum;Erbkaisertum;;;;;;;;;;;;;x
the_great_debt;The Great Debt;;;;;;;;;;;;;x
the_great_debt_1;The Great Debt;;;;;;;;;;;;;x
the_south_sea_company;The South Sea Company;;;;;;;;;;;;;x
the_south_sea_company_1;The South Sea Company;;;;;;;;;;;;;x
the_south_sea_company_2;The South Sea Company;;;;;;;;;;;;;x
johann_struensee;Johann Struensee;;;;;;;;;;;;;x
christian_vii;Christian VII Oldenburg;;;;;;;;;;;;;x
local_hegemon;Local Hegemon;;;;;;;;;;;;;x
methuen_treaty;Methuen Treaty;;;;;;;;;;;;;x
john_v_por;John V Braganca;;;;;;;;;;;;;x
marquis_pombal;Sebastiao Jose de Carvalho e Melo;;;;;;;;;;;;;x
monopoly_companies_of_commerce;Monopoly Companies of Commerce;;;;;;;;;;;;;x
jesuits_expelled;Jesuits Expelled;;;;;;;;;;;;;x
pombaline_economic_reform;Pombaline Economic Reforms;;;;;;;;;;;;;x
turnabout;Turnabout;;;;;;;;;;;;;x
pearl_of_the_antilles;Pearl Of the Antilles;;;;;;;;;;;;;x
mass_slave_revolt;Mass Slave Revolt;;;;;;;;;;;;;x
trade_centre;Trade Centre;;;;;;;;;;;;;x
vila_rica;Vila Rica;;;;;;;;;;;;;x
berggeschrei;Berggeschrei;;;;;;;;;;;;;x
bolas_de_plata;Bolas de Plata;;;;;;;;;;;;;x
el_eden;El Eden;;;;;;;;;;;;;x
kolar_gold_fields;Kolar Gold Fields;;;;;;;;;;;;;x
a_tax_haven;A Tax Haven;;;;;;;;;;;;;x
noble_army;Noble General Staff;;;;;;;;;;;;;x
noble_beaurocracy;Noble Beaurocratic Staff;;;;;;;;;;;;;x
proffesional_general_staff;Proffesional General Staff;;;;;;;;;;;;;x
trade_sectors_monopoly;Imposed Trade Sector Monopoly;;;;;;;;;;;;;x
church_goods_seized;Church Propety Seized;;;;;;;;;;;;;x
deified_ruler;Deified Ruler;;;;;;;;;;;;;x
piracy_tolerant;Tolerant to Piracy;;;;;;;;;;;;;x
piracy_tolerant_desc;We have decided that letting pirates roam free may be of actual benefit to our nation;;;;;;;;;;;;;x
pirate_republic;Pirate Republic;;;;;;;;;;;;;x
pirate_republic_desc;We are a pirate republic, a loose and borderline anarchistic confederation of.. angry merchants;;;;;;;;;;;;;x
nader_shah;Nader Shah;;;;;;;;;;;;;x
napoleon_bonaparte;Napoleon I Bonaparte;;;;;;;;;;;;;x
charles_emmanuel;Charles Emmanuel III di Savoia;;;;;;;;;;;;;x
savoyard_law_code;Savoyard Law Codified;;;;;;;;;;;;;x
leopold_ii;Leopold II Habsburg;;;;;;;;;;;;;x
spanish_succesion_crisis;Spanish Succession Crisis has started;;;;;;;;;;;;;x
naderi_coinage_system;Naderi Coinage System;x
quajar_army_reforms;Qajar Army Reforms;x
muhammad_ali;Muhammad Ali of Egypt;x
fredrican_army_model;Fredrican Army Model;x
encouraging_migration;Encouraging Settlements;x
western_medicine;Imported Western Medicine;x
order_of_the_dragon;Order of the Dragon;x
succession_crisis;§ROngoing Succession Crisis§;x
succession_crisis_desc;A Succession Dispute has been triggered, we have 2 months to annouce our intentions about it or ignore it;x
